freq_ghz,s11_re,s11_im,s12_re,s12_im,s21_re,s21_im,s22_re,s22_im,sdd_re,sdd_im,sdc_re,sdc_im,scd_re,scd_im,scc_re,scc_im,zdd_re,zdd_im,zb1_re,zb1_im,zb2_re,zb2_im,zavg_re,zavg_im,zdd_minus_2zavg_re,zdd_minus_2zavg_im,sdd_db,sdc_db,scd_db,scc_db,branch_mag_imbalance_db,branch_phase_error_deg
1.0,0.5459341845677375,0.23503463236483282,0.4142799522552354,-0.5146194653174396,0.41428217400317335,-0.5146157723204929,0.5457909390753388,0.2352287654123374,0.13158149869233376,0.7497493177075514,7.051187223033883e-05,-9.891302222564402e-05,7.27336201682971e-05,-9.522002527895257e-05,0.9601436249507426,-0.2794859199303812,31.95094909244947,113.9198829872448,15.973083521633265,56.923021361437605,15.977863226349175,56.99685415121323,15.975473373991221,56.95993775632542,2.3444670276262514e-06,7.474593971323884e-06,-2.369932290414385,-78.31039886042976,-78.42935309942828,-5.142088883524986e-05,-0.010627303928615685,-0.014853572114304825
1.0008,0.5470722008424301,0.23439518021817388,0.412844328085279,-0.5142127177651192,0.412845116433909,-0.5142092653027859,0.5469320169129088,0.23459185986899497,0.1341573866180755,0.7487045115775369,6.969779044568858e-05,-0.00010006605657723877,7.048613907567614e-05,-9.66135942438856e-05,0.9598468311372634,-0.27971747149036813,32.16530912498849,114.28493087146137,16.07951612704686,57.10562234323638,16.085790412497435,57.17930108676126,16.082653269772145,57.14246171499882,2.5854442000650124e-06,7.441463736768128e-06,-2.3765411018578013,-78.27659894364422,-78.44588578151948,-0.001964310339778781,-0.010626163725039758,-0.013436906641601354
1.0016,0.5482070460293537,0.23375218262280897,0.41141531287760374,-0.5138012987513936,0.41141468389409647,-0.5137980679440685,0.5480699106651132,0.23395135202898423,0.13672347996138334,0.7476514506736276,6.88821738739076e-05,-0.00010120010675020163,6.825319036657396e-05,-9.796929942508525e-05,0.9595534767330836,-0.27994791602183444,32.3811220894165,114.6503300790892,16.186683046304005,57.28840229571975,16.19443621822502,57.36192037960632,16.190559632264513,57.32516133766303,2.8248874741620966e-06,7.403763135016561e-06,-2.383156739334432,-78.24308027058012,-78.45987641339484,-0.0038508135661538653,-0.010623782043305115,-0.012043459052620165
1.0024,0.5493387044219972,0.23310565508904288,0.4099929001191043,-0.5133852646572952,0.4099908699194445,-0.5133822369730296,0.5492046043143521,0.23330725778994402,0.13927976934890027,0.7465902072546559,6.806515365243015e-05,-0.000102315192583316,6.603495399259973e-05,-9.928750831779409e-05,0.959263539387449,-0.28017729437566896,32.59839704036068,115.0160774693434,16.29458878031984,57.47135964784266,16.303805197321687,57.54471045993216,16.299196988820764,57.50803505388741,3.0627191520693486e-06,7.361568577834987e-06,-2.3897791687415104,-78.20986706509376,-78.47142416245772,-0.005711015714147594,-0.010620171263236377,-0.010672950410224757
1.0032,0.5504671604355006,0.23245561320799865,0.4085770829487545,-0.5129646714212762,0.408573667693382,-0.5129618286730334,0.550336081968979,0.23265959313215043,0.14182624588117154,0.7455208532172294,6.724686094705667e-05,-0.00010341133619727605,6.383160557454914e-05,-0.0001005685879544721,0.9589769965233079,-0.28040564687708025,32.81714309534906,115.38216983108619,16.403237862224614,57.65449279250936,16.413901934262157,57.72766972362044,16.408569898243385,57.6910812580649,3.298862289113913e-06,7.314956391724081e-06,-2.3964083574656545,-78.17698222832144,-78.48063063892108,-0.007545004867355478,-0.010615343818140228,-0.009325106400808636
1.004,0.5515923986071288,0.2318020726504572,0.4071678541646636,-0.5125395745398117,0.4071630700541929,-0.5125368988826983,0.551464327863786,0.23200837411730238,0.14436290112602915,0.7444434600951348,6.642742690682324e-05,-0.00010448856197929624,6.164331643604415e-05,-0.00010181290486589722,0.9586938253448856,-0.28063301332737517,33.03736943490327,115.7486038817279,16.512634857387177,57.83780008603139,16.52473104427508,57.910796531692796,16.518682950831128,57.874298308862095,3.5332410135424652e-06,7.2640037132032376e-06,-2.4030442743703637,-78.1444473916987,-78.48759934664977,-0.009352871991733975,-0.01060931219204383,-0.007999657228879187
1.0048,0.5527144035967367,0.23114504916569117,0.40576520623104817,-0.5121100290680715,0.4057590695020686,-0.512107502996547,0.5525893263604772,0.2313536168873012,0.1468897271120486,0.7433580990588053,6.560698261953712e-05,-0.0001055468965672629,5.94702536400038e-05,-0.00010302082504277943,0.9584140028451653,-0.28085943300581306,33.259085302624925,116.11537626611725,16.622784363436224,58.021279847580274,16.636297173408103,58.09408920974926,16.629540768422164,58.057684528664765,3.7657805975754854e-06,7.2087877214244145e-06,-2.4096868897835853,-78.11228296917955,-78.49243515313708,-0.011134710880738379,-0.010602088917149586,-0.0066963375152226945
1.0056,0.5538331601872198,0.23048455858029782,0.40436913128513174,-0.5116760896206611,0.4043616582060852,-0.511673695965728,0.5537110619481259,0.23069533766303005,0.1494067163220644,0.7422648409148586,6.478565907025446e-05,-0.00010658636883269235,5.731258002367179e-05,-0.00010419271389953966,0.9581375058132813,-0.2810849446715306,33.48230000527447,116.4824835554184,16.733691010277724,58.204930358632794,16.74860499858959,58.2775460473994,16.741148004433658,58.241238203016096,3.996407151873882e-06,7.149386206606323e-06,-2.41633617548526,-78.08050820846971,-78.49524378288223,-0.012890618100609543,-0.010593686571388502,-0.005414886196632551
1.0064,0.5549486532849502,0.22982061679702914,0.4029796211439663,-0.5112378103724305,0.402970828011102,-0.5112355322988019,0.5548295192436198,0.23003355274312967,0.15191386168675086,0.7411637561056956,6.396358709742644e-05,-0.00010760700986457705,5.517045423308886e-05,-0.00010532893623595163,0.9578643108418192,-0.28130958656553684,33.70702291284299,116.84992224597578,16.845359460108995,58.388749862411714,16.861659227685916,58.46116529768685,16.853509343897457,58.42495758004928,4.225048073180915e-06,7.085877214763059e-06,-2.422992104694935,-78.04914124122634,-78.49613133789221,-0.014620692935830619,-0.010584117775682031,-0.00415504642754172
1.0072,0.5560608679202047,0.22915323979361815,0.4015966673111722,-0.5107952450593441,0.40158657044457924,-0.5107930660625967,0.5559446829920924,0.22936827850277072,0.15441115657827284,0.7400549147091648,6.314089735265371e-05,-0.00010860885295004008,5.3044030759674676e-05,-0.0001064298562025584,0.9575943943340244,-0.28153339641277597,33.93326345861662,117.21768875816724,16.95779440742958,58.572736563318756,16.975464599555313,58.64494517650934,16.96662950349245,58.60884086991405,4.451631724577965e-06,7.018339147180086e-06,-2.4296546520593862,-78.01819913214239,-78.49520384764222,-0.01632503733480512,-0.010573395191713832,-0.0029165654846394773
1.008,0.5571697892475733,0.2284824436216049,0.400220260983607,-0.5103484469794181,0.4002088767233229,-0.5103463508831241,0.5570565380673405,0.22869953139242596,0.15689859480399193,0.7389383864382866,6.23177202584424e-05,-0.00010959193355751518,5.093345997436716e-05,-0.00010749583726350764,0.9573277325109218,-0.2817564114242556,34.16103113923317,117.58577943524352,17.071000579048345,58.75688862636227,17.090025884097244,58.828883862030466,17.080513231572795,58.79288624419637,4.67608757759308e-06,6.946850788835945e-06,-2.436323793640284,-77.9876979266985,-78.49256685118009,-0.01800375585570608,-0.010561531519302884,-0.001699194672738713
